userId,negative_samples
104,"[4062, 8821, 6264, 8990, 1993, 3603, 7592, 2960, 896, 781, 8757, 2272, 2311, 7761, 8305, 6130, 6501, 7365, 3685, 8811, 1585, 3554, 5114, 161, 870, 7077, 7004, 6619, 6477, 7461, 8378, 6838, 7685, 3063, 7167, 6541, 4744, 5946, 1149, 1832, 2187, 3499, 779, 1108, 1747, 6100, 5494, 8968, 7307, 2711, 7196, 1702, 5291, 2619, 5480, 5171, 2178, 2324, 4909, 3899, 8864, 6039, 889, 2056, 4893, 2749, 6332, 7198, 4958, 3252, 2828, 340, 6480, 8025, 7868, 8371, 7443, 8199, 5399, 7275, 2535, 3677, 5990, 726, 2130, 2719, 7922, 4741, 6447, 1025, 2382, 5989, 2727, 8582, 5379, 7505, 8557, 5659, 6959]"
105,"[5250, 5044, 6546, 8921, 7034, 4913, 2609, 3691, 4412, 2714, 1727, 3659, 3816, 7143, 8578, 1235, 6066, 4583, 5728, 2579, 8551, 2244, 4480, 6691, 8883, 2114, 3060, 8612, 1745, 853, 1541, 3503, 8497, 4033, 7960, 2757, 5175, 6022, 814, 5407, 6953, 3744, 5330, 6642, 5292, 7115, 2843, 6697, 6500, 1559, 8660, 1196, 3823, 6336, 2556, 574, 7357, 2481, 6669, 4005, 2558, 6070, 5347, 4865, 3740, 5203, 8170, 5196, 5803, 5023, 8507, 141, 8722, 8631, 4023, 5745, 5560, 6112, 2708, 5596, 6771, 4422, 4848, 3029, 2225, 8999, 1676, 6047, 8255, 7351, 2121, 706, 5442, 6416, 7753, 2252, 6637, 2243, 6463]"
106,"[7036, 6043, 6436, 5008, 226, 1398, 6622, 5526, 5964, 5056, 2378, 654, 1368, 120, 4012, 3444, 1712, 5843, 4811, 6479, 5222, 6031, 6535, 678, 2094, 6827, 1350, 6309, 2697, 5795, 4410, 7014, 8233, 1006, 7475, 361, 7071, 3338, 8434, 4328, 92, 6347, 1172, 5039, 4064, 1540, 8033, 6302, 7504, 4388, 3852, 5232, 4960, 7621, 6841, 8157, 4794, 418, 2972, 2741, 5408, 1888, 6150, 5267, 8069, 4917, 6711, 5531, 259, 8085, 876, 4186, 5994, 873, 7779, 8811, 7306, 6217, 5032, 4570, 5615, 2372, 7874, 4567, 8295, 164, 6615, 6750, 5482, 7066, 5123, 8859, 6076, 636, 4912, 649, 2868, 2347, 805]"
107,"[439, 664, 5382, 8040, 2755, 1460, 6734, 7069, 8934, 812, 3637, 80, 2274, 8222, 4396, 3869, 3818, 2686, 7375, 7434, 979, 4847, 7486, 4895, 6274, 4233, 5408, 2503, 918, 3567, 8862, 8290, 1031, 7056, 3375, 3569, 1334, 3626, 1558, 6773, 2720, 1861, 4799, 436, 1616, 2703, 7599, 4663, 3999, 4699, 8251, 5972, 6132, 6107, 5898, 1201, 1697, 7081, 8067, 5146, 2477, 1295, 5465, 5036, 973, 1426, 6192, 8231, 1842, 6737, 598, 8140, 8572, 6539, 163, 2931, 7055, 7739, 2119, 6600, 4701, 3839, 6598, 6359, 6616, 6324, 7058, 8997, 2178, 5358, 3689, 1888, 7330, 2404, 2339, 2190, 2216, 5108, 1593]"
108,"[5720, 50, 2844, 4057, 6249, 5106, 7768, 2532, 6328, 6791, 2810, 597, 8762, 3147, 5996, 3389, 6118, 5350, 3309, 1860, 4049, 3269, 1412, 5987, 8895, 7599, 5240, 4878, 57, 3000, 5743, 1449, 5786, 5922, 54, 8151, 4141, 2176, 7133, 4736, 7829, 2873, 2843, 4893, 8308, 3059, 6360, 8129, 2795, 1987, 9054, 3665, 5337, 4696, 4075, 1672, 8666, 845, 7514, 5291, 7269, 8812, 6320, 1611, 2454, 3133, 4258, 8766, 7617, 6815, 3289, 6219, 4499, 8214, 3671, 8090, 4821, 6131, 3768, 4378, 5592, 3770, 1033, 7102, 4589, 4468, 3182, 2507, 6383, 5017, 4579, 118, 528, 2086, 1880, 1187, 4738, 3211, 1028]"
109,"[3490, 5979, 612, 5935, 6026, 2721, 6004, 8966, 5132, 3525, 2760, 745, 3239, 8156, 2118, 989, 2268, 3738, 110, 5669, 2827, 8480, 5278, 6820, 5862, 4200, 4313, 4534, 2142, 2127, 3959, 8210, 7920, 430, 8371, 2953, 8532, 598, 8400, 6099, 551, 7123, 4189, 4483, 4566, 2497, 1287, 8833, 241, 5446, 8980, 7537, 924, 8306, 7717, 889, 2262, 1074, 3148, 115, 6790, 5539, 6202, 103, 2198, 6257, 5947, 7924, 8710, 5560, 3025, 7736, 4591, 6726, 5459, 3195, 7810, 1265, 6239, 2203, 7159, 5036, 2601, 3428, 1427, 5655, 8295, 6378, 6382, 5188, 8772, 7361, 1006, 9008, 899, 8857, 2979, 3805, 3112]"
110,"[6676, 3977, 1548, 8077, 5854, 5865, 4868, 2321, 3604, 6055, 4508, 3912, 5546, 5873, 3702, 7757, 673, 3042, 1539, 3108, 3488, 4867, 7285, 4425, 5694, 3184, 824, 247, 1400, 272, 1533, 7959, 3553, 4276, 9048, 682, 5578, 1607, 5757, 3209, 794, 2521, 4832, 821, 7668, 7902, 733, 8766, 6044, 4403, 8162, 6084, 4075, 7884, 3665, 7636, 3058, 6869, 2738, 6806, 3669, 3945, 3927, 8039, 5141, 279, 9024, 8761, 3411, 2343, 8597, 6530, 1353, 6969, 4865, 75, 8834, 8999, 1029, 1483, 3476, 7689, 6645, 3633, 7801, 3249, 5179, 2369, 2335, 8915, 3625, 8559, 5084, 2264, 6208, 8115, 6589, 6416, 8471]"
111,"[887, 3025, 8381, 764, 8949, 2589, 4662, 6762, 4846, 5621, 5158, 395, 6184, 3498, 5021, 7223, 4916, 4502, 8514, 2997, 7190, 4591, 7004, 2489, 8524, 3574, 1561, 5047, 895, 4059, 4564, 8314, 548, 1929, 7061, 4620, 2502, 1370, 8208, 2344, 9047, 4137, 5412, 1264, 1, 2700, 6278, 4011, 3106, 4765, 4865, 3389, 346, 1041, 6888, 5941, 560, 8396, 5994, 4762, 8283, 4253, 8051, 1305, 7250, 2588, 6423, 5260, 422, 3304, 9031, 3962, 1018, 1276, 6211, 6188, 5815, 1544, 1310, 6825, 834, 331, 40, 483, 7210, 5019, 6053, 7633, 3766, 2611, 7451, 8624, 3633, 36, 4176, 3880, 1296, 2762, 6431]"
112,"[1670, 8875, 788, 3415, 3727, 7698, 4268, 4791, 4976, 6276, 5228, 7999, 480, 5249, 6795, 627, 4974, 1474, 2314, 3184, 4481, 3844, 2130, 3726, 1539, 4180, 6569, 4471, 2634, 5325, 1319, 2947, 5554, 2586, 846, 3700, 605, 2277, 3932, 814, 5144, 2782, 163, 2022, 8643, 5761, 5142, 2462, 8492, 2679, 7427, 3564, 4353, 6754, 1688, 6043, 6860, 8815, 5691, 3661, 4694, 4523, 3380, 5160, 3899, 919, 7337, 2032, 864, 6653, 668, 3308, 7525, 5914, 1516, 6369, 6565, 7503, 249, 5858, 6375, 1550, 2392, 2750, 3366, 1001, 6203, 3533, 6727, 6858, 826, 7383, 1693, 6782, 1143, 3718, 267, 3728, 1182]"
113,"[8476, 8234, 4200, 0, 6736, 4010, 3306, 693, 133, 1444, 1213, 7453, 6954, 2144, 370, 7329, 3413, 6645, 4943, 468, 7019, 220, 7679, 3794, 5240, 421, 655, 1478, 5302, 8013, 7113, 574, 749, 1811, 5378, 7721, 613, 4765, 5047, 7500, 6115, 518, 2242, 6230, 8444, 3146, 3300, 8053, 4689, 8206, 4054, 2467, 7989, 2899, 136, 1014, 3410, 6367, 928, 4690, 8547, 5374, 8835, 5819, 7288, 5227, 399, 4031, 8000, 2002, 6193, 495, 8432, 4802, 8944, 5755, 2156, 2908, 8501, 5779, 3139, 2364, 8008, 8178, 5715, 7894, 4587, 1505, 6263, 4633, 523, 6318, 8777, 3860, 3016, 4095, 8435, 7974, 1593]"
114,"[2991, 7125, 2141, 5086, 1578, 3884, 6119, 4901, 4515, 8030, 7593, 5307, 1009, 3014, 6217, 1690, 438, 7671, 8782, 8311, 6085, 4409, 1073, 2358, 6070, 4350, 1656, 6436, 8441, 5765, 4044, 5505, 2345, 3659, 4536, 2267, 8992, 2833, 8836, 1501, 4718, 8242, 112, 8776, 6421, 4366, 9050, 366, 7883, 2941, 2228, 4004, 8410, 6023, 5932, 2059, 7785, 7482, 1159, 7771, 8591, 7309, 5527, 8263, 7846, 1675, 7287, 6005, 2632, 1579, 3645, 7544, 2380, 6986, 4696, 2119, 7457, 8670, 8309, 7977, 8515, 2218, 2069, 5370, 6154, 7107, 4837, 677, 8862, 4904, 1897, 1407, 6098, 4857, 92, 3602, 4898, 5280, 8266]"
115,"[7824, 5670, 1567, 257, 2302, 5292, 551, 6142, 3014, 1589, 1329, 8295, 6, 6318, 8974, 5972, 7311, 165, 4479, 6821, 1847, 2528, 6745, 679, 2584, 7159, 5917, 7384, 7866, 7035, 7821, 3087, 242, 8065, 985, 1190, 2149, 5457, 5023, 2400, 3098, 4593, 7905, 7481, 6578, 374, 4743, 4821, 2102, 5761, 31, 208, 3532, 1428, 8831, 8537, 8157, 3875, 8746, 9003, 7267, 6004, 4211, 3297, 8575, 7415, 6446, 6731, 6206, 4822, 2242, 3132, 1348, 7209, 2590, 9045, 856, 171, 3772, 1506, 7114, 5677, 5501, 8379, 3438, 4840, 2792, 4179, 8923, 7459, 8959, 3070, 7569, 1045, 4830, 603, 3609, 866, 4786]"
116,"[4598, 3664, 7195, 4102, 7084, 5994, 2409, 8732, 1343, 5267, 3510, 6187, 7858, 1563, 6745, 6983, 6514, 6202, 8618, 8696, 5585, 6928, 7270, 8424, 5403, 8083, 6100, 5866, 2951, 2739, 3674, 4946, 8549, 6738, 5401, 1472, 6706, 7951, 2228, 1378, 8662, 6232, 1521, 1310, 4504, 7055, 3884, 8651, 7260, 7335, 3955, 6502, 572, 5449, 6680, 2828, 6625, 2516, 7781, 8782, 8851, 3607, 5980, 6484, 6825, 6519, 2201, 6145, 3136, 2238, 5488, 4917, 2705, 4519, 3163, 8038, 1136, 6194, 2787, 5329, 1449, 1608, 3332, 6538, 3380, 2776, 6335, 6876, 4853, 4763, 2745, 3282, 554, 818, 7755, 6345, 7375, 2346, 5036]"
117,"[443, 5790, 3715, 2050, 4248, 4949, 7434, 6853, 7578, 6139, 3670, 2661, 1542, 7918, 163, 2349, 7704, 7547, 4804, 1855, 5584, 8583, 3045, 1794, 2426, 6468, 6503, 643, 1653, 4919, 2815, 6314, 2225, 6494, 1833, 8008, 1351, 2928, 3168, 5132, 3972, 6669, 5462, 3441, 5651, 8159, 4067, 7496, 7621, 3263, 418, 6187, 8303, 1182, 6418, 1716, 2015, 2780, 5956, 1474, 7711, 3925, 1777, 6706, 4954, 6412, 7331, 1688, 9037, 5030, 4486, 2517, 3392, 5265, 3862, 7937, 1460, 5777, 2741, 7815, 3539, 7072, 5574, 3430, 5818, 5899, 47, 8256, 3888, 3487, 1338, 3573, 6872, 6958, 7296, 6815, 6228, 4432, 5464]"
118,"[1763, 7283, 474, 7508, 2214, 2289, 4803, 3557, 2206, 6263, 6362, 7466, 2984, 2576, 4146, 5568, 5206, 1829, 3569, 1037, 2127, 3409, 5694, 3063, 8282, 2381, 2590, 1317, 8322, 4005, 3872, 4841, 2144, 1417, 6469, 658, 4849, 1153, 5391, 4259, 3892, 5366, 7085, 8211, 5451, 7226, 3700, 8584, 1199, 8312, 2671, 34, 1401, 2382, 3252, 4976, 4213, 5703, 3053, 4756, 1670, 1139, 6985, 6556, 9053, 8446, 396, 1579, 3816, 1353, 6441, 2125, 3459, 5577, 8891, 3373, 4247, 2224, 4438, 7940, 3503, 5367, 5677, 1607, 3566, 3115, 6318, 4083, 6367, 4326, 4218, 7178, 1878, 5443, 6388, 2955, 6094, 601, 2260]"
119,"[3882, 5242, 8493, 4259, 2421, 3231, 484, 5442, 1159, 7597, 4383, 3205, 1669, 3442, 7419, 3540, 1578, 8515, 3568, 8173, 3076, 2180, 4136, 2464, 1012, 6563, 7926, 2628, 1559, 4277, 8312, 6107, 8567, 5700, 1023, 2885, 6380, 897, 4243, 5071, 7402, 6403, 7785, 3286, 8584, 8859, 2757, 2149, 7111, 4858, 3386, 3297, 3576, 6378, 3390, 4292, 3734, 7065, 4835, 5203, 3114, 5080, 6611, 6165, 1646, 4890, 2442, 5529, 3949, 4746, 5356, 3755, 4339, 4599, 3654, 190, 8622, 5612, 2849, 4400, 2995, 6660, 4664, 2394, 1428, 1348, 8139, 6491, 3239, 70, 7216, 8104, 7025, 3099, 5271, 8280, 6439, 6512, 8141]"
120,"[6034, 8916, 5136, 8336, 4582, 8387, 4071, 3480, 5450, 3268, 8253, 8495, 1391, 497, 1320, 7715, 8627, 5613, 8337, 3740, 4739, 2045, 1848, 183, 2638, 3435, 8420, 7076, 314, 2131, 575, 5320, 471, 4167, 4814, 6187, 7693, 5447, 2147, 3517, 8602, 4123, 2064, 147, 2133, 8856, 7510, 6557, 7411, 7892, 3710, 5645, 8235, 6391, 7518, 1275, 913, 3281, 7591, 4926, 1609, 4105, 7034, 8849, 2526, 2438, 6160, 1742, 4973, 8106, 8180, 1147, 1078, 5439, 3623, 2802, 4469, 4179, 3548, 1818, 8474, 3926, 1096, 5172, 3223, 365, 4939, 2570, 6033, 8637, 4367, 9026, 4035, 5375, 3430, 7701, 3471, 1913, 8684]"
121,"[7497, 5877, 8798, 6574, 7781, 2008, 2861, 2018, 7404, 1076, 3066, 5348, 1622, 3622, 5988, 4384, 1208, 2429, 808, 6472, 4970, 8019, 4177, 3729, 8757, 162, 2438, 2091, 6255, 6502, 2897, 2810, 2616, 4211, 536, 6548, 9062, 1417, 5511, 6355, 1748, 165, 6924, 1802, 5343, 2686, 7960, 6703, 325, 4724, 8369, 1005, 6240, 6181, 4698, 6044, 7316, 1552, 1797, 6107, 5148, 8466, 6070, 1924, 8595, 549, 3930, 6912, 717, 3609, 6056, 2611, 4076, 5985, 1585, 7250, 5227, 1373, 1957, 1923, 7007, 6855, 4964, 5642, 8295, 8142, 3814, 5207, 1821, 7306, 4577, 7438, 7927, 7917, 4894, 1832, 2149, 6765, 5449]"
122,"[5040, 8216, 7454, 4685, 8438, 5772, 8882, 7390, 2227, 8916, 6222, 6087, 4287, 1141, 9005, 2566, 3867, 6919, 4541, 8004, 1610, 8096, 3485, 347, 3302, 5663, 1675, 921, 9035, 7103, 2142, 1104, 4160, 8453, 3023, 1531, 1123, 6084, 40, 6236, 5894, 4582, 5933, 2562, 1898, 2608, 1408, 5006, 4924, 5146, 8533, 8938, 8557, 6698, 4388, 1370, 4042, 653, 7249, 8100, 1267, 3523, 6677, 2740, 801, 3096, 6747, 459, 7514, 5910, 7546, 7684, 5532, 15, 720, 4886, 4459, 107, 7694, 288, 5578, 2967, 1133, 2593, 7957, 3568, 8837, 3073, 5630, 826, 6729, 4874, 1282, 1766, 1537, 8002, 5662, 1233, 5647]"
123,"[8797, 3293, 6096, 4104, 186, 5964, 879, 2584, 465, 3070, 5506, 7534, 373, 4050, 8309, 2236, 4521, 4511, 1783, 5150, 5344, 7192, 6512, 3907, 7501, 1743, 3133, 6972, 3799, 7287, 1036, 2591, 4573, 8261, 4289, 6126, 4408, 5120, 3804, 117, 3589, 4684, 6685, 1952, 4313, 3397, 902, 929, 7793, 2498, 8822, 4685, 2271, 4762, 966, 3886, 620, 4433, 1265, 1917, 1838, 3413, 7545, 7231, 3991, 6638, 5558, 1774, 613, 776, 1388, 3379, 3839, 3204, 6518, 7193, 1789, 1524, 3920, 2653, 6058, 3683, 8792, 5688, 2656, 7153, 2758, 175, 8906, 2806, 6140, 336, 3619, 8729, 8487, 5115, 1101, 6647, 2533]"
124,"[5798, 468, 5644, 8278, 6410, 8155, 7018, 4893, 2649, 6329, 1684, 5812, 6811, 2708, 5677, 1814, 446, 8991, 6722, 8037, 6433, 2810, 5872, 4752, 2560, 2795, 8474, 3873, 4978, 498, 8674, 6114, 7623, 3603, 6216, 2965, 6729, 4085, 2287, 5434, 2378, 5851, 7009, 1759, 7452, 2271, 2914, 7260, 1734, 1296, 541, 2546, 1045, 8151, 5443, 972, 7241, 7504, 3538, 4021, 5222, 5293, 2185, 4261, 8391, 1027, 5201, 2964, 5816, 4876, 4832, 701, 6488, 7729, 4794, 865, 6641, 5242, 719, 1448, 8760, 4507, 6224, 1703, 6667, 3210, 1248, 8182, 5607, 3266, 2717, 689, 6783, 1013, 5968, 2202, 1319, 3106, 8535]"
125,"[5620, 7410, 2661, 1924, 6753, 1238, 1464, 7925, 4529, 3525, 4345, 4166, 7586, 7947, 8924, 2902, 7116, 613, 1003, 5999, 5030, 3546, 6562, 1977, 629, 7562, 4026, 918, 906, 7899, 8757, 5683, 5890, 1068, 7952, 6107, 3302, 8727, 6886, 1725, 4480, 781, 1272, 8846, 1262, 8567, 8856, 7760, 8641, 8155, 1281, 7867, 8793, 7531, 3957, 1554, 775, 6851, 4314, 5961, 7774, 7117, 5517, 2894, 6907, 9012, 2466, 8478, 5387, 1965, 4471, 7332, 5956, 7165, 2195, 6599, 3394, 6325, 4630, 103, 2987, 2231, 1177, 3502, 7191, 5022, 3636, 1335, 5392, 148, 5035, 7298, 8181, 3749, 2858, 7025, 3096, 2451, 5820]"
126,"[8543, 4084, 7287, 7064, 3397, 5931, 3541, 1258, 7350, 5414, 2170, 8734, 7265, 5221, 930, 3758, 1688, 8292, 7414, 8523, 5062, 7012, 4769, 3493, 4143, 6140, 6192, 8830, 1348, 2504, 798, 5281, 7217, 9018, 5514, 4252, 8019, 5507, 5204, 136, 7642, 2159, 4374, 1204, 5104, 7372, 490, 224, 3899, 5365, 8155, 2075, 1284, 605, 3260, 5580, 5469, 6643, 903, 2780, 443, 3307, 7060, 5111, 376, 4122, 1069, 3256, 5080, 5416, 3678, 90, 1929, 2384, 7744, 3189, 5670, 2064, 5705, 5331, 7029, 4503, 8548, 5981, 624, 6806, 6258, 4321, 8366, 5299, 1551, 2086, 4587, 8189, 8675, 2098, 1877, 1786, 4563]"
127,"[6958, 4715, 4736, 7987, 311, 287, 963, 5346, 8885, 7253, 8851, 7937, 5139, 3794, 3699, 7761, 251, 4285, 2136, 4521, 5653, 748, 3846, 8039, 6960, 6142, 7562, 3176, 3752, 1260, 738, 6688, 8339, 7378, 3772, 3010, 2363, 197, 2200, 857, 237, 6677, 5180, 4155, 5688, 7578, 5523, 7770, 2302, 8301, 4414, 4369, 7345, 7188, 3908, 7832, 631, 3404, 8798, 5956, 3714, 1463, 1175, 1287, 4086, 4230, 4794, 6626, 8156, 820, 1799, 8031, 5277, 4295, 6701, 3227, 5156, 4882, 7151, 80, 177, 3380, 394, 4925, 3382, 8147, 5936, 5101, 7217, 6520, 1401, 4723, 6513, 7628, 7825, 3445, 6897, 5157, 230]"
128,"[7035, 4207, 3425, 395, 4323, 5037, 3741, 6075, 3680, 6555, 604, 1237, 7068, 6217, 1817, 7137, 1656, 857, 4463, 6, 5734, 8801, 2619, 7507, 2875, 3900, 3750, 3622, 293, 4516, 2689, 8479, 7478, 8739, 3876, 6545, 633, 6489, 1951, 3140, 980, 6882, 4515, 2922, 5354, 1535, 1937, 3375, 8646, 5530, 2288, 6429, 2927, 7476, 3992, 6804, 1826, 2286, 8285, 2956, 6992, 5687, 6633, 8162, 2746, 8245, 6307, 6238, 2133, 6705, 3356, 1424, 6443, 5570, 5337, 6772, 8673, 6460, 5850, 344, 1273, 6781, 6838, 8089, 8092, 1160, 8415, 7879, 5144, 8915, 7394, 1676, 2558, 5994, 5152, 7302, 3377, 3949, 8390]"
129,"[33, 7429, 4291, 2385, 3443, 718, 7797, 7674, 4565, 7613, 8150, 4550, 2514, 8686, 7191, 3847, 6575, 5983, 1294, 7931, 3213, 8131, 8672, 8371, 8679, 5746, 774, 1856, 2777, 5069, 8806, 824, 4676, 1054, 5056, 3812, 1314, 741, 5314, 5607, 1741, 7037, 4656, 8676, 8632, 8293, 3854, 7018, 5426, 4540, 3362, 3794, 5733, 7164, 2975, 7041, 6240, 3996, 3968, 2125, 7004, 7211, 962, 3614, 7049, 4317, 6354, 631, 7181, 6811, 4354, 5776, 8927, 3490, 8629, 7115, 5294, 7526, 8920, 1817, 8841, 9059, 3166, 1629, 8292, 7483, 5942, 3674, 8603, 7290, 8454, 1785, 3687, 8315, 8260, 2176, 2281, 1097, 5692]"
130,"[2158, 2006, 5065, 2629, 1063, 8938, 5432, 2269, 366, 7619, 5034, 7051, 7297, 7945, 652, 1189, 3662, 7435, 4225, 94, 992, 4228, 8596, 7363, 547, 6368, 5883, 7019, 8288, 858, 669, 1825, 17, 6267, 6944, 2103, 6552, 3460, 2122, 1877, 6320, 3744, 8670, 1634, 5552, 457, 5291, 4887, 5784, 9026, 8618, 4195, 5001, 1870, 7464, 3140, 6128, 2250, 1053, 5254, 3981, 4655, 2426, 5658, 6330, 3541, 8025, 76, 8187, 7751, 7270, 8563, 6766, 5583, 420, 5155, 5161, 4966, 5936, 7621, 8502, 7336, 580, 5084, 7792, 7937, 881, 1262, 3018, 55, 7307, 9027, 2259, 3154, 1627, 741, 3051, 933, 5388]"
131,"[143, 6346, 8541, 8980, 1114, 1688, 5911, 6002, 4775, 5138, 2742, 4752, 5397, 4618, 3484, 8528, 2302, 8644, 4193, 255, 5445, 7358, 1300, 7209, 7294, 2183, 7417, 8662, 7237, 1994, 6698, 3480, 7186, 3942, 4382, 5403, 1734, 7483, 5897, 3625, 9026, 2775, 2432, 3266, 6983, 2041, 7330, 3042, 5045, 1785, 2648, 6164, 5136, 7914, 7197, 8490, 68, 7452, 1865, 3703, 7598, 5089, 1971, 2757, 1955, 5439, 2380, 330, 5038, 3865, 8696, 6826, 6926, 1017, 1578, 3325, 1801, 4794, 4184, 2761, 8765, 8020, 3280, 8046, 8678, 2952, 7244, 7929, 3448, 2237, 3661, 6982, 3796, 2736, 1564, 6643, 3109, 7020, 1408]"
132,"[7618, 4685, 7352, 2246, 4382, 7463, 8688, 4496, 699, 4319, 7706, 3798, 3365, 8374, 5800, 2770, 7007, 6979, 6155, 3854, 2016, 6477, 6588, 7689, 2237, 7017, 8457, 8849, 5329, 1812, 8587, 7923, 804, 2268, 4900, 8711, 456, 3982, 4427, 2959, 8952, 3244, 8732, 8307, 6255, 8974, 7339, 5541, 7674, 899, 3178, 4931, 260, 4078, 3107, 1274, 135, 6164, 5955, 7076, 68, 8386, 6342, 5901, 4475, 4199, 339, 7957, 7171, 2987, 5929, 2750, 7034, 656, 3848, 2128, 6258, 4217, 3557, 4327, 5557, 606, 3619, 6647, 460, 3674, 1521, 1332, 3749, 6438, 3564, 4702, 178, 6096, 3852, 1751, 6147, 1501, 8012]"
133,"[7271, 3989, 2115, 469, 7770, 4820, 1064, 5453, 8466, 2078, 3783, 8586, 436, 7667, 3263, 448, 5769, 3574, 3327, 8384, 4298, 7043, 976, 6963, 1667, 7399, 7221, 3543, 1975, 2729, 3339, 3060, 5447, 7107, 4587, 8714, 3595, 2043, 6368, 5371, 8807, 6517, 5064, 5113, 912, 8492, 5667, 6340, 6651, 3148, 8367, 961, 3317, 7922, 8080, 2166, 3315, 5418, 6133, 8280, 7507, 8859, 2939, 54, 5086, 3052, 3193, 139, 1896, 6574, 8749, 117, 3668, 3171, 4091, 8087, 5574, 2641, 8706, 5244, 3972, 6065, 5188, 748, 3283, 4411, 1502, 8789, 4089, 1167, 1934, 7549, 10, 2437, 7300, 1295, 3672, 2253, 2269]"
134,"[6004, 3063, 3824, 538, 7996, 1309, 1117, 1046, 18, 4717, 1593, 106, 619, 2650, 6146, 2871, 5782, 70, 2167, 6470, 2165, 8129, 7230, 91, 4989, 3172, 5067, 16, 6635, 4899, 3994, 6024, 6793, 4608, 3670, 848, 2121, 1877, 8544, 2728, 787, 3630, 3525, 1234, 7809, 5532, 5774, 8043, 4986, 2411, 2502, 1404, 7384, 7406, 8427, 6927, 7891, 84, 1094, 4687, 5791, 8845, 1522, 3032, 6340, 6821, 5065, 3315, 783, 6475, 5037, 5269, 1797, 1496, 8135, 6411, 4060, 6439, 4266, 2028, 6844, 573, 7444, 3916, 2520, 7177, 6601, 4471, 6809, 5805, 3884, 5654, 8623, 6981, 6681, 5889, 2117, 2800, 4762]"
135,"[8566, 4313, 2533, 2659, 5452, 798, 5699, 7231, 425, 7691, 8746, 2660, 8441, 1960, 4058, 1457, 1134, 7551, 1048, 7981, 2924, 968, 5552, 1586, 6045, 4872, 2705, 1470, 6675, 2030, 6553, 8633, 5764, 4929, 7794, 7603, 3772, 6714, 919, 2608, 1658, 1808, 5678, 8176, 554, 1988, 6770, 6361, 6798, 5414, 7407, 2193, 6263, 8612, 1517, 6447, 6518, 380, 2762, 2530, 2639, 5998, 2177, 8895, 3870, 2532, 2119, 6536, 5624, 5507, 2121, 5048, 2963, 4813, 5457, 7925, 8408, 948, 7205, 8766, 665, 5491, 1208, 6975, 5085, 6519, 1, 5615, 6259, 1530, 3138, 6929, 4896, 5544, 4349, 2897, 7532, 8327, 8764]"
136,"[1837, 1310, 8825, 1907, 532, 2419, 7594, 4129, 6193, 1777, 5622, 9040, 7448, 5401, 3384, 2908, 5763, 4567, 577, 5108, 7134, 3120, 5177, 6775, 4022, 2466, 7103, 4457, 1174, 2415, 4609, 5323, 4886, 3148, 8850, 3129, 1110, 8951, 6481, 2575, 4089, 1175, 7023, 7390, 3769, 9015, 5633, 1676, 8636, 8035, 7997, 8762, 8349, 923, 5345, 1226, 5018, 5341, 4355, 1030, 8598, 734, 8578, 8752, 4733, 1046, 7547, 2547, 8827, 1197, 7074, 6611, 5726, 1656, 1372, 2036, 8601, 3906, 6354, 3056, 5269, 6317, 495, 3475, 4356, 5087, 305, 917, 2837, 7258, 4825, 4098, 6451, 1151, 2850, 7051, 375, 6759, 3256]"
137,"[2986, 2160, 6386, 1861, 4838, 4008, 8447, 8826, 2686, 854, 3358, 3186, 5162, 840, 4632, 5828, 111, 5433, 8465, 1570, 4857, 4077, 8666, 3257, 243, 737, 2218, 537, 5857, 934, 4431, 3963, 806, 3234, 3942, 2795, 5320, 8772, 440, 6550, 252, 5536, 7980, 1980, 3729, 4006, 7074, 3675, 6141, 5815, 6431, 8924, 6321, 3261, 8288, 3984, 251, 1584, 1835, 591, 5919, 4985, 7907, 1387, 8431, 3472, 2190, 7544, 7473, 6811, 6085, 2871, 6035, 8702, 5545, 4608, 1895, 4623, 7729, 1206, 5739, 2453, 7802, 681, 8813, 5503, 2103, 9058, 8145, 3891, 4364, 4841, 315, 7341, 2439, 684, 7184, 1217, 966]"
138,"[7799, 1672, 2869, 3476, 4788, 3055, 3598, 8731, 4765, 7705, 3931, 7659, 1426, 443, 5307, 5108, 675, 3523, 5626, 4586, 1094, 1541, 8675, 161, 5574, 8762, 5234, 4468, 4392, 2146, 4595, 2102, 4377, 3139, 4204, 1596, 81, 7043, 3869, 1226, 3064, 4408, 1974, 5667, 8913, 976, 7238, 3505, 8541, 1060, 6044, 7933, 1640, 5291, 2668, 4071, 3673, 9053, 5060, 4065, 3898, 258, 5899, 6040, 4137, 8885, 628, 2318, 2675, 6728, 77, 4045, 305, 6273, 4148, 719, 4977, 5029, 6375, 7744, 3026, 1436, 6219, 7606, 4917, 8804, 2419, 1740, 6474, 2255, 7579, 6480, 3840, 5546, 8065, 2594, 1254, 1879, 5292]"
